Categoria,Departamento,ETI,Data Nascimento
,DEEEA,0.55,1954-02-04
,DEETC,1.0,1958-05-29
,DEETC,1.0,1959-08-06
,DEQ,0.5,1957-11-08
,DEM,0.3,1954-10-26
,DEETC,1.0,1953-01-01
,DEEEA,0.55,1954-02-02
,DEETC,0.5,1957-10-05
,DEC,1.0,1953-03-03
,DEEEA,1.0,1957-08-02
,DEETC,1.0,1954-03-20
,DEC,1.0,1954-06-24
,DEETC,1.0,1956-03-26
,DEETC,1.0,1957-10-18
,DEQ,1.0,1954-09-27
,DEC,0.2,1956-02-14
,DEETC,1.0,1951-12-10
,DEC,1.0,1956-06-17
,DEEEA,1.0,1954-01-26
,DEETC,1.0,1957-10-13
,DEQ,1.0,1961-01-03
,DEEEA,1.0,1961-08-17
,DEETC,1.0,1960-06-22
,DEC,1.0,1956-05-24
,DEETC,1.0,1960-11-19
,DEC,0.2,1961-11-16
,DEETC,1.0,1959-12-21
,DEQ,1.0,1959-05-04
,DEETC,1.0,1959-04-13
,DEETC,0.5,1959-03-07
,DEETC,1.0,1959-12-05
,DEQ,1.0,1962-12-18
,DEQ,1.0,1956-03-23
,DEETC,1.0,1963-06-21
,DEETC,1.0,1961-12-18
,DEC,1.0,1958-02-01
,DEC,1.0,1957-01-31
,DEQ,1.0,1959-07-25
,DEM,1.0,1961-05-17
,DEETC,1.0,1960-07-12
,DEC,0.2,1956-04-22
,DEETC,1.0,1963-11-28
,DEETC,0.6,1965-01-09
,DEQ,1.0,1961-06-25
,DEETC,1.0,1965-08-02
,DEM,1.0,1964-09-21
,DEEEA,1.0,1957-09-13
,DEC,1.0,1955-04-19
,DEC,1.0,1963-01-31
,DEETC,1.0,1966-05-21
,DEC,1.0,1959-02-08
,DEQ,1.0,1960-08-20
,DEQ,1.0,1962-12-12
,DEEEA,1.0,1963-02-03
,DEC,1.0,1958-08-31
,DEETC,0.5,1963-12-04
,DEM,1.0,1957-11-30
,DEEEA,1.0,1959-04-23
,DEC,1.0,1966-03-18
,DEETC,1.0,1965-11-02
,DEETC,1.0,1962-05-08
,DEETC,1.0,1958-11-23
,DEC,1.0,1966-12-14
Assistente do 2. Trienio,DEC,1.0,1960-04-02
,DEM,1.0,1958-05-30
,DEEEA,0.5,1956-11-17
,DEM,0.5,1963-03-13
,DEETC,1.0,1964-10-04
,DF,0.5,1960-08-15
,DEETC,1.0,1957-10-28
,DF,1.0,1954-07-25
,DF,1.0,1960-10-29
,DEC,0.3,1963-12-01
,DEC,1.0,1955-12-07
,DEM,1.0,1964-04-06
,DEM,1.0,1955-04-13
,DEM,0.25,1958-03-21
,DEEEA,0.6,1962-08-28
,DEETC,1.0,1969-03-24
,DEETC,1.0,1959-04-15
,DEEEA,1.0,1964-01-02
,DEEEA,1.0,1968-09-19
,DEQ,1.0,1967-12-15
,DEETC,1.0,1969-01-06
,DEC,0.5,1958-10-21
,DEETC,1.0,1969-04-13
,DF,1.0,1963-12-30
,DEQ,1.0,1970-02-05
,DF,1.0,1964-04-08
,DEQ,1.0,1968-10-23
,DEC,1.0,1965-12-24
,DM,1.0,1961-12-27
,DM,1.0,1962-10-20
,DEQ,1.0,1958-10-07
,DEM,1.0,1954-11-26
,DEC,1.0,1956-08-15
,DEM,1.0,1954-10-09
,DEC,1.0,1958-09-30
,DEQ,1.0,1961-01-05
,DEETC,1.0,1968-07-31
,DEC,1.0,1966-06-13
Assistente do 2. Trienio,DM,1.0,1964-09-01
,DEEEA,1.0,1969-03-26
,DEC,1.0,1957-10-01
,DEC,1.0,1954-10-18
,DEQ,1.0,1967-05-08
,DEQ,1.0,1971-04-16
,DEETC,1.0,1973-05-13
,DEETC,1.0,1960-04-17
,DEEEA,1.0,1968-09-26
,DEM,1.0,1964-05-30
,DEETC,1.0,1961-04-20
,DM,1.0,1970-02-10
,DEM,1.0,1970-11-22
,DEEEA,1.0,1968-04-26
,DEC,0.4,1969-07-09
,DEETC,1.0,1968-06-06
,DEETC,1.0,1960-11-04
,DEETC,1.0,1968-09-05
,DEETC,1.0,1974-03-14
,DEETC,1.0,1973-05-28
,DEC,1.0,1967-05-28
,DF,1.0,1968-04-18
,DEETC,0.5,1973-06-13
,DEETC,1.0,1961-05-23
,DEEEA,1.0,1970-10-07
,DEETC,1.0,1966-08-13
,DEQ,1.0,1972-03-12
,DEEEA,0.55,1955-05-22
,DF,1.0,1960-10-16
,DEEEA,0.4,1969-01-14
